--------- beginning of /dev/log/system
07-11 10:11:52.297 I/ActivityManager(  374): Start proc com.android.packageinstaller for activity com.android.packageinstaller/.PackageInstallerActivity: pid=1100 uid=10045 gids={50045, 1028}
07-11 10:11:52.750 E/AndroidRuntime( 1100): FATAL EXCEPTION: main
07-11 10:11:52.750 E/AndroidRuntime( 1100): java.lang.RuntimeException: Unable to start activity ComponentInfo{com.android.packageinstaller/com.android.packageinstaller.PackageInstallerActivity}: java.lang.SecurityException: META-INF/CERT.SF has invalid digest for res/drawable-xhdpi/abc_ic_menu_moreoverflow_normal_holo_light.png in /storage/emulated/0/MDM/download/bygamebinumbers.apk
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2211)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2261)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.app.ActivityThread.access$600(ActivityThread.java:141)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1256)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.os.Handler.dispatchMessage(Handler.java:99)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.os.Looper.loop(Looper.java:137)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at android.app.ActivityThread.main(ActivityThread.java:5103)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at java.lang.reflect.Method.invokeNative(Native Method)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at java.lang.reflect.Method.invoke(Method.java:525)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:737)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
07-11 10:11:52.750 E/AndroidRuntime( 1100): 	at dalvik.system.NativeStart.main(Native Method)
