--------- beginning of /dev/log/system
07-11 13:52:26.719 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 27635): empty #17
07-11 13:52:27.742 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:52:27.742 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:52:27.742 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:52:27.742 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:52:27.742 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:52:27.742 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:52:27.750 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:52:28.820 I/PowerManagerService(  374): Waking up from sleep...
07-11 13:52:28.820 I/WindowManager(  374): No lock screen!
07-11 13:52:35.492 I/ActivityManager(  374): No longer want com.google.android.calendar (pid 28838): empty #17
07-11 13:53:04.242 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-11 13:53:10.250 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-11 13:53:10.445 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
