--------- beginning of /dev/log/system
07-14 12:14:51.338 W/ActivityManager(  374):   Force finishing activity com.android.packageinstaller/.PackageInstallerActivity
07-14 12:14:51.580 W/ActivityManager(  374):   Force finishing activity com.pekall.emdm/.market.activity.AppListActivity
07-14 12:14:52.080 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42e8dd90 u0 com.android.packageinstaller/.PackageInstallerActivity}
07-14 12:14:52.463 I/ActivityManager(  374): No longer want com.android.mms (pid 3070): empty #17
07-14 12:15:02.471 W/ActivityManager(  374): Activity destroy timeout for ActivityRecord{42e8dd90 u0 com.android.packageinstaller/.PackageInstallerActivity}
07-14 12:15:05.455 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:15:06.494 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:15:06.791 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:15:07.065 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:15:07.182 I/WindowManager(  374): Lock screen displayed!
07-14 12:15:09.010 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:15:09.143 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:15:23.971 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:15:23.979 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:15:24.494 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:15:24.877 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:15:25.033 I/WindowManager(  374): Lock screen displayed!
07-14 12:15:26.862 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:15:26.916 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:15:30.088 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:15:30.104 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:15:30.104 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:15:30.104 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:15:30.112 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:15:30.112 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:15:30.119 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:15:30.127 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:15:30.549 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:15:30.557 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:15:30.557 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:15:30.557 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:15:30.565 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:15:30.573 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:15:30.573 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:15:30.588 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:15:30.596 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:15:30.596 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:15:30.596 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:15:30.596 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
